Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
TITO,-0.014057,-2.8025E-05,-0.034735,0,0,0,2,0.0037485,6.2347E-07,-4.228E-06,0.005373,2.0054E-08,0.0085891,0,0,0,0,0,0,package://TITO Moves v1/meshes/TITO.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TITO Moves v1/meshes/TITO.STL,,FM_RVT - EBOX-1;FM_RVT - RLM-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ENGINE1,-0.049497,-1.7523E-05,-3.3692E-07,0,0,0,0.15,1.0791E-06,3.2383E-10,-5.8793E-11,1.356E-06,-2.9706E-11,1.3576E-06,0,0,0,0,0,0,package://TITO Moves v1/meshes/ENGINE1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TITO Moves v1/meshes/ENGINE1.STL,,Gearmotor-1,Origin_ENGINE1JOINT,Axis_ENGINE1JOINT,ENGINE1JOINT,fixed,-0.124,-0.032888,-0.059985,-1.5708,0,1.5708,TITO,0,0,0,,,,,,,,,,,,
LEG1,-0.0080118,-0.012692,-0.00072115,0,0,0,0.06,5.0695E-05,6.1207E-06,1.4584E-06,1.9614E-05,-5.585E-06,6.5188E-05,0,0,0,0,0,0,package://TITO Moves v1/meshes/LEG1.STL,0.68627,0.65882,0.63922,1,0,0,0,0,0,0,package://TITO Moves v1/meshes/LEG1.STL,,Left_Wheel-1,Origin_LEG1JOINT,Axis_ENGINE1JOINT,LEG1JOINT,revolute,-0.10151,0.036086,0,0,-1.5708,0,ENGINE1,0,0,1,0,0,0,0,,,,,,,,
ENGINE2,-0.049497,-1.7523E-05,-3.3692E-07,0,0,0,0.15,1.0791E-06,3.2383E-10,-5.8793E-11,1.356E-06,-2.9706E-11,1.3576E-06,0,0,0,0,0,0,package://TITO Moves v1/meshes/ENGINE2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TITO Moves v1/meshes/ENGINE2.STL,,Gearmotor-2,Origin_ENGINE2JOINT,Axis_ENGINE2JOINT,ENGINE2JOINT,fixed,0,-0.057888,-0.059985,-1.5708,0,1.5708,TITO,0,0,0,,,,,,,,,,,,
LEG2,-0.0080118,-0.012692,-0.00072115,0,0,0,0.06,5.0695E-05,6.1207E-06,1.4584E-06,1.9614E-05,-5.585E-06,6.5188E-05,0,0,0,0,0,0,package://TITO Moves v1/meshes/LEG2.STL,0.68627,0.65882,0.63922,1,0,0,0,0,0,0,package://TITO Moves v1/meshes/LEG2.STL,,Left_Wheel-2,Origin_LEG2JOINT,Axis_ENGINE2JOINT,LEG2JOINT,revolute,-0.10151,0.036086,0,0,-1.5708,0,ENGINE2,0,0,1,0,0,0,0,,,,,,,,
ENGINE3,-0.049497,-1.7523E-05,-3.3692E-07,0,0,0,0.15,1.0791E-06,3.2383E-10,-5.8793E-11,1.356E-06,-2.9706E-11,1.3576E-06,0,0,0,0,0,0,package://TITO Moves v1/meshes/ENGINE3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TITO Moves v1/meshes/ENGINE3.STL,,Gearmotor-3,Origin_ENGINE3JOINT,Axis_ENGINE3JOINT,ENGINE3JOINT,fixed,0.124,-0.032888,-0.059985,-1.5708,0,1.5708,TITO,0,0,0,,,,,,,,,,,,
LEG3,-0.0080118,-0.012692,-0.00072115,0,0,0,0.06,5.0695E-05,6.1207E-06,1.4584E-06,1.9614E-05,-5.585E-06,6.5188E-05,0,0,0,0,0,0,package://TITO Moves v1/meshes/LEG3.STL,0.68627,0.65882,0.63922,1,0,0,0,0,0,0,package://TITO Moves v1/meshes/LEG3.STL,,Left_Wheel-3,Origin_LEG3JOINT,Axis_ENGINE3JOINT,LEG3JOINT,revolute,-0.10151237169951,0.0360858204029619,0,0,-1.5707963267949,0,ENGINE3,0,0,1,0,0,0,0,,,,,,,,
ENGINE4,-0.049497,1.7523E-05,3.3692E-07,0,0,0,0.15,1.0791E-06,-3.2383E-10,5.8793E-11,1.356E-06,-2.9706E-11,1.3576E-06,0,0,0,0,0,0,package://TITO Moves v1/meshes/ENGINE4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TITO Moves v1/meshes/ENGINE4.STL,,Gearmotor-4,Origin_ENGINE4JOINT,Axis_ENGINE4JOINT,ENGINE4JOINT,fixed,-0.124,0.032888,-0.059985,1.5708,0,-1.5708,TITO,0,0,0,,,,,,,,,,,,
LEG4,-0.0080118,-0.012692,0.016721,0,0,0,0.06,5.0695E-05,6.1207E-06,-1.4584E-06,1.9614E-05,5.585E-06,6.5188E-05,0,0,0,0,0,0,package://TITO Moves v1/meshes/LEG4.STL,0.68627,0.65882,0.63922,1,0,0,0,0,0,0,package://TITO Moves v1/meshes/LEG4.STL,,Right_Wheel-3,Origin_LEG4JOINT,Axis_ENGINE4JOINT,LEG4JOINT,revolute,-0.0855123716995091,-0.0360858204029629,0,3.14159265358979,-1.5707963267949,0,ENGINE4,0,0,-1,0,0,0,0,,,,,,,,
ENGINE5,-0.049497,1.7523E-05,3.3692E-07,0,0,0,0.15,1.0791E-06,-3.2383E-10,5.8793E-11,1.356E-06,-2.9706E-11,1.3576E-06,0,0,0,0,0,0,package://TITO Moves v1/meshes/ENGINE5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TITO Moves v1/meshes/ENGINE5.STL,,Gearmotor-5,Origin_ENGINE5JOINT,Axis_ENGINE5JOINT,ENGINE5JOINT,fixed,0,0.057888,-0.059985,1.5708,0,-1.5708,TITO,0,0,0,,,,,,,,,,,,
LEG5,-0.0080118,-0.012692,0.016721,0,0,0,0.06,5.0695E-05,6.1207E-06,-1.4584E-06,1.9614E-05,5.585E-06,6.5188E-05,0,0,0,0,0,0,package://TITO Moves v1/meshes/LEG5.STL,0.68627,0.65882,0.63922,1,0,0,0,0,0,0,package://TITO Moves v1/meshes/LEG5.STL,,Right_Wheel-2,Origin_LEG5JOINT,Axis_ENGINE5JOINT,LEG5JOINT,revolute,-0.0855123716995093,-0.036085820402963,0,3.14159265358979,-1.5707963267949,0,ENGINE5,0,0,-1,0,0,0,0,,,,,,,,
ENGINE6,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,package://TITO Moves v1/meshes/ENGINE6.STL,1,1,1,1,0,0,0,0,0,0,package://TITO Moves v1/meshes/ENGINE6.STL,,Gearmotor-6,Origin_ENGINE6JOINT,Axis_ENGINE6JOINT,ENGINE6JOINT,fixed,0.124,0.0328876283004872,-0.0599846310393008,1.5707963267949,0,-1.5707963267949,TITO,0,0,0,,,,,,,,,,,,
LEG6,-0.0080118,-0.012692,0.016721,0,0,0,0.06,5.0695E-05,6.1207E-06,-1.4584E-06,1.9614E-05,5.585E-06,6.5188E-05,0,0,0,0,0,0,package://TITO Moves v1/meshes/LEG6.STL,0.68627,0.65882,0.63922,1,0,0,0,0,0,0,package://TITO Moves v1/meshes/LEG6.STL,,Right_Wheel-1,Origin_LEG6JOINT,Axis_ENGINE6JOINT,LEG6JOINT,revolute,-0.0855123716995156,-0.0360858204029629,0,3.14159265358979,-1.5707963267949,0,ENGINE6,0,0,-1,0,0,0,0,,,,,,,,
